tweets_text,type
@BDSSupporter And who cares where they were born. They became Israelis by choice.,notcyberbullying
"er, THOSE.",notcyberbullying
QUE BULLYING... PQ NO MT AGENTE VAI ASSISTIR O ULTIMO CAPITULO DA NOVELA POR ULTIMO? PQP..,notcyberbullying
Still the best website on the internet: http://t.co/IiibIFWNuW #stopwadhwa2015,notcyberbullying
#MistakesGirlsMake GET PREGNANT!,notcyberbullying
"@nurmannurman #kasian ""@STANers2010:  #ClassAward Temen sekelas kalian yang sering di-bully .......... #MentionKe #IsiTitikTitik""",notcyberbullying
@chris_gray91 no I'm keeping that for later trackies and a tshirt on #LuckyNooneCanSeeMe :( ha x,notcyberbullying
I took Maddie to the doctor this morning. Everyone there looked at me like I had nine heads. Are dads that rare?,notcyberbullying
RT @SevenPerth: The countdown is on until #crabfest15! See our local #MKR teams on The Good Guys Cooking stage http://t.co/McL1z1D9TC http:…,notcyberbullying
@plrdirectory Another #plr provider discovery - thanks for the connection!,notcyberbullying
"RT @finicalgal: Basically the #MKR ""twists"" are a series of annoying ways to extend this season.",notcyberbullying
regram @starwarsfannews,notcyberbullying
RT @NoToFeminism: I don’t need femisnn i heard femists were trying to write a book sequel called To Mock a Meningbird,notcyberbullying
Heiii odah @faannn bsk ak g msk yah.. Jagain suheri yah.. Jgn smp si ijah @opiesiraru kalap buat bully suheri,notcyberbullying
"@AMohedin When the Taliban make women wear Burquas are they not preventing women from ""displaying themselves""?",notcyberbullying
@brunoyudi33 pior que os outros bully passa logo o n 24 é por um ano no minimo,notcyberbullying
Presented without comment. http://t.co/4xAlmBW4YB,notcyberbullying
i'm happy when life hands me lemons. can't do shots of tequila with artichokes.,notcyberbullying
@J_Birt94 And yet you felt the need to tweet this drivel,notcyberbullying
@dankmtl @PeaceNotHate_ Wrong again asshole. Just look at the Christian vs Muslim population demographic for the last 30 years.,notcyberbullying
ebay is running one of the largest data warehouses in the world #TDPUG12,notcyberbullying
RT @Yonadav7: Elder Of Ziyon - Israel News: The collection of Charlie Hedbo Mohammed cartoons http://t.co/tenqB24kkp,notcyberbullying
Now we're comparing our papers to the human body? I was never good at anatomy… 📝🚶,notcyberbullying
"And they knew me, too. SO WEIRD.",notcyberbullying
@voretaq7 @chilblane i'm sorry. :(,notcyberbullying
@KeepingtheLeith @thebigfella37 The government is not the US.  Americans hate the Saudi Monarchy.,notcyberbullying
@josh_ag @ncweaver https://t.co/b5HFOAtfbk,notcyberbullying
@MetaCookbook @Jenny_Trout it is very appreciated. thank you. :),notcyberbullying
".@tarah @girlziplocked @hypatiadotca @justkelly_ok @ameliagreenhall when ur writing a book about WiT, it is prob not a good idea to do this.",notcyberbullying
"Please look Cerebral Palsy, Bullied in School and NO regrets!  dads parenting schools http://t.co/pQtK1rA http:/... http://t.co/rJBTsIz",notcyberbullying
Anyone have a video of this?,notcyberbullying
Posing for extra style points before wrecking *everyone*. #selfie #warlords http://t.co/Jr11tzm49x,notcyberbullying
"I've been watching Jenn for a while, deciding if it was worth saying anything. Her tweets are benign, but the *response* is not.",notcyberbullying
"I'm glad Will and Steve are back, though. #MKR #MKR2015",notcyberbullying
"How them kings do last nite?,“@JoeyCorleoneBGR This was a bullshit morning b”",notcyberbullying
@GBO26 She'll turn 18 just in time for next Season of #MKR meaning she could apply for MKR. Father/Dtr duo?,notcyberbullying
Pause in horror as you realize the harsh reality of that statement.,notcyberbullying
@MelBiebs69 @haroonstyles @halalflaws @greenlinerzjm @biebervalue Don't feed me propaganda. Tell me what 33:33 says.,notcyberbullying
"@halalflaws @AMohedin @islamdefense @haroonstyles @greenlinerzjm No, it says this. http://t.co/zpGYjCBUNb",notcyberbullying
This feeling this morning,notcyberbullying
"@obsurfer84 There is no ""interpretation"" to ""I was six years old"". Only Taquiyya Muslims trying to lie about it.",notcyberbullying
RT @frankdenauw: Maine Man Charged With Choking 2 Cats to Death,notcyberbullying
RT @babybrucewayne: except it's not the best looking instant restaurant.. It looks like two 13 year olds put it together #mkr,notcyberbullying
@PrayForLizzie wuld u be interested in a demi support/ stop bullying video?(:,notcyberbullying
"And he's an author. You know, someone who needs empathy to perform his job. http://t.co/mQeFE8SuH0",notcyberbullying
@BG_Princess22 I'm just so tired and the class sucks. And it's easy,notcyberbullying
"@17snelson Unless you meant ""woman""?",notcyberbullying
Here is my deconstructed Vanilla Cake...some assembly required #MKR http://t.co/Ah1suwvPJo,notcyberbullying
"@WithTrish @JRehling Look, if you don't know anything about Islam, then don't waste my time.",notcyberbullying
Ministério público investiga bullying sofrido pelas organizações Globo e por Ideli.,notcyberbullying
Throwback to when vivek offered to show me around SU to shut me up. https://t.co/DoMBsoijp3,notcyberbullying
"RT @the_author_: It's also worth nothing the absurdly low threshold men place on women's anger. Simply saying ""no"" is often interpreted as …",notcyberbullying
Made the Director's List. LOL,notcyberbullying
@amehl17 way to skip class and you are crazy! Missed out on teach comparing a penis to a Swiss army knife,notcyberbullying
@miscu_ I have bots to block all of that.,notcyberbullying
@marthacarvs #bullying #excluida #glee,notcyberbullying
@TimCField http://t.co/ElwRyZZhT2,notcyberbullying
"FUCK BACK THEN, WE THE SHIT RIGHT NOW !",notcyberbullying
Mnet https://t.co/qUYf336tya,notcyberbullying
RT @Ginty80: #mkr http://t.co/lZ7m2e8Q4K,notcyberbullying
"Oh Mickey you're so fine. You're so fine, you blow my mind. Hey Mickey! HEY HEY! HEY MICKEY!",notcyberbullying
I hear that it's snowing up north. Glad I made it through that before the snow started.,notcyberbullying
@edgeofthesandbx @batchelorshow @FearDept Are you talking about Jews? They are not leaving western Ukraine these days.,notcyberbullying
@Shervyn A big project we have going forward is a user facing solution that involves the cooperation of large tech companies.,notcyberbullying
I wanna be that feeling,notcyberbullying
@dylanw heh. HEH.,notcyberbullying
Maybe your better off with the person you didnt think you neededd,notcyberbullying
mmmm #MKR Forget Deconstruction @lisamromano @garydlum @mattsparks88 THIS is Lemon Tart 🍋🍋🍋 mmmm http://t.co/iiLigXbbzw,notcyberbullying
"So on this day, I was feeling myself a lil bit too much in school.. I had too piss reaaaaaaaal bad. I was doing the piss dance and everythin",notcyberbullying
@ingridill0391 esa chiquilla es tan bully :(,notcyberbullying
Mama dukes is the best,notcyberbullying
"@devilcrayon sadly, most are breeds not allowed by my apartment complex.",notcyberbullying
"I have absolutely no idea what the phrase ""saving room for dessert"" means.",notcyberbullying
RT @nickfalkner: I dededeconstructed my tart so I just jammed a lemon in Colin's mouth. #mkr,notcyberbullying
man driving classes are boring!!,notcyberbullying
"Forgive me love, for wanting you. Blame it on those eyebrows arching over baby blues. #sayanythingmonday",notcyberbullying
This is absolutely ridiculous how bad my ankles and legs hurt from playing football.,notcyberbullying
How am I getting home from college :((((,notcyberbullying
I'm a fan of dreadlocks. I could never do it. Charlie looks good with them though.,notcyberbullying
Are you effing kidding me???? Talk about #JumpingTheShark #MKR,notcyberbullying
Tooooooo hungry,notcyberbullying
#OMFGOD she didnot just pick shit out of his teeth fucking gross #MKR,notcyberbullying
@StanCarey If I said 'ledge-bag' I could be held in contempt of court!,notcyberbullying
"@loamorim_ @fjoaopedro_ defy, tu sofre bullying, ja percebeu? kkkkkkkkk",notcyberbullying
"@LifeInKhilafah Same applies to most Asians. They work hard, study hard, and get the results. Mohammed was a caravan robber too lazy to work",notcyberbullying
Back to college for 2 hours erggh,notcyberbullying
Minha mãe piora o bullying !!! Só me esculacha #huahua,notcyberbullying
Lol hot box on a red light !🙉💨💨🚦,notcyberbullying
RT @JamesMakienko: @omeisy @yemenrightsmon People in #Yemen see through #Russia supporting #houthis - already making fun of #putin https://…,notcyberbullying
"New Jersey Schools to have US toughest anti-bullying laws - 18 pages of requirements, and league tables : http://t.co/MAdEo9b #edchat #edlaw",notcyberbullying
@TheKenNarvato follow back dude!,notcyberbullying
@haacked hi! I'm currently in the middle of driving home but I should be there soon. Will send you an email later.,notcyberbullying
@RuwaydaMustafah And gave even more help to ISIS. Turkey is quickly becoming an Islamolunatic theocracy under Erdogan.,notcyberbullying
If something is so hard to do on the BBQ then why why why do it?? #MKR #hungrycampers,notcyberbullying
"@quantumdude @SonataSetShy @Spacekatgal at this point? You know it's getting mobbed by harassers with down votes aplenty, choice is yours.",notcyberbullying
"@RadiowaveFM I'm going to smack the bullies of course, bullying my kid(if i had one) is very personal",notcyberbullying
Or basic sociological concepts like stereotype threat,notcyberbullying
"This boy in my class ate a orange &amp; put the orange peals in his sneaker , like whatt ?",notcyberbullying
"@AAlwuhaib1977 I know hundreds of Christians, but not a single one that fits the discription.",notcyberbullying
Women have been equal socially for quite awhile now &lt;-- said with all of the authority of the truly uninformed,notcyberbullying
@sschinke @Blackamazon @shanley also sorta working with Twitter on a bunch of things. Will get clarity on NDA.,notcyberbullying
Prayers are going up for my Papaw today as he goes for Open Heart Surgery.. I love him so much...,notcyberbullying
My job gives me a constant stream of endorphins.,notcyberbullying
Hey #SuperHero fans. We have a collection of #StanLee videos about #disability #bullying #adhd and more http://ow.ly/64BD4 #akhca,notcyberbullying
"Jelly much, Kat? Andre is no catch.  #mkr",notcyberbullying
"Although down-syndrome is genetic disorder , but it cannot be inherited .",notcyberbullying
@MisGrace @GBabeuf @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @NewsCoverUp @rougek68 Says the Putin owned troll.,notcyberbullying
"I don't care what BS cernovich has done, have some goddamn ethics. For real, though.",notcyberbullying
Pocky 4ever. http://t.co/Sah8xed05T,notcyberbullying
@d_bully personally i blame Arsene. must all be gooners. Signing chamberlain instead of a centre back must have pushed them over the edge,notcyberbullying
@karolinecg La vem vc fazendo bullying comigo :( Vc abusa de mim só pq gosto de vc mimimi,notcyberbullying
Having a lazy day today fuck school so i'm gunna drink tea and watch shit loads of 1D videos bye,notcyberbullying
"RT @waxpancake: Awww, Vivek made a new friend! http://t.co/B482drk2pN",notcyberbullying
@james19XX You should examine your personal reasons why one gender 'looks weird' doing an activity as gender-neutral as bike riding.,notcyberbullying
HAHAHAHA,notcyberbullying
"RT @_darkhours: ""@HoseinMortada Syria -SAA Raids Rebels dens in #Daraa,#DeirEzzor &amp;kill several 10s terrorists http://t.co/HUwcW7McP8 http:…",notcyberbullying
"The bus is packed and I'm surrounded by people, can't breathe.",notcyberbullying
"RT @LahavHarkov: Ignoring the crazies is the best policy but if you really can't, here's a great takedown of Max Blumenthal http://t.co/4V9…",notcyberbullying
"Jesus brought us a new life. The life that is not subject to disease,fear,poverty,confusion but it is the life of total victory in Christ",notcyberbullying
@trentmkays @drurbanski except that features like that shouldn't have a pay barrier.,notcyberbullying
"For more egregious cases for harassment, we definitely need to be able to respond to those appropriately. But most toxicity isn't this.",notcyberbullying
TWITTER IS ABOUT TO EXPLODE!  #mkr,notcyberbullying
okay so tat guy is in my design&amp;engineering class! Cool!! ahhh yyy :P,notcyberbullying
already taken by cocos (L)__(K).,notcyberbullying
@ashleylynch o_O   that's appreciated greatly. going to be releasing some financial info soon.,notcyberbullying
"@DeShilianGuey lo digo por muchas cosas que leo, es una pena en verdad. Nuestros hijos crecerán rodeados de bullying por pensar diferente",notcyberbullying
@AnwarPrince14 @RTUKnews @RT_com I find that it's the people who claim others don't know anything about Islam that don't know anything.,notcyberbullying
Woot on hold with my internet provider...,notcyberbullying
"I miss telling my brothers about how school went :,C",notcyberbullying
I'm gonna die tonight!,notcyberbullying
@beardyblue I sort of grew up in it. :) http://t.co/SUrQwclIoU,notcyberbullying
@pakito_tuamigo yeaaa zombie bullying!!!! blood!!!! brains!!! muahahaha!! xD,notcyberbullying
@ErikaLopezDurel Definitions mean jack.  Actions do.,notcyberbullying
"Another round of instant restaurants, get to the good stuff already #MKR",notcyberbullying
@PoliticalAnt @Lithobolos @ZaibatsuNews Half the mosques that are built in west are financed and staffed by Gulf states looking for Salafism,notcyberbullying
@Fixer_Turkey Why were innocent civilians in prison?,notcyberbullying
"@Marissazman @huddydoodle don't worry babe. Nnt I kung fu je dgn dia. Kita tgk ah dia tergolek nnt :p jgn bully best friend I, Hud! Haa haha",notcyberbullying
#MKR what price a bit of nationally televised dignity,notcyberbullying
.@sindarina tweetbot is a paid client.,notcyberbullying
"Dou um empurrão em uma pessoa, isso se chama : - › empurrão. › › SOCIEDADE: bullying! http://tumblr.com/xun3xycfun",notcyberbullying
Fashion by Randi.,notcyberbullying
"@_blackglass__ @dumuzi1969 LOL. I love that ""just wait"" reasoning.",notcyberbullying
"We should take the ""Stop The Bullying"" & change it to ""Quit Being A Dick."" #fb",notcyberbullying
@sailorhg @iroc oh my gosh. This is awesome.,notcyberbullying
@OHLANDmusic I would say me but that's egotistical so let's go with danger mouse or childish gambino,notcyberbullying
Can't focus. Go figure.,notcyberbullying
"Bacon, 2 x fried eggs, toast, 1 x sausage, tomato, mushrooms and spinach! #PissEasy #MKR",notcyberbullying
RT @BlizzHeroes: Proof that anyone can find love in the Nexus... Learn More&gt; http://t.co/d1yAwoMZLu . https://t.co/4Txof10L1J,notcyberbullying
@LifeInKhilafah Daesh have so many fronts to fight that they don't have the concentrated manpower to succeed any more.,notcyberbullying
"Hi. I'm late to the #MKR party tonight. Who's house is this? It's very spacious and ""airy"".",notcyberbullying
How can they get away with that. Kat &amp; Andre are cunts. #MKR,notcyberbullying
"oooo, drama on my timeline again! Let me guess who's involved... ;)",notcyberbullying
"NPR asked to speak to me about the wadhwa thing. They *just* got off the phone with him, &amp; now they don't need to talk to me anymore. Weird.",notcyberbullying
@dcfanjane @tsant71 @Lauire1 @FoolsApril64 @LuDiCRouS_70 @brwneyedbaby74 @corinnakey @soul3208 @pinkplainangel @mycircle Thank you!,notcyberbullying
About to get dressed and wait on some one .. so I can take his ass too the hospital !,notcyberbullying
"@nwOryzen Again, you jump to unsupported conclusions, just like your absurd coup idea.",notcyberbullying
RT @oh_deary_me__: Meanwhile back in the English Boyz tent. #mkr http://t.co/ezWQnQIiYH,notcyberbullying
"@OfficialAdele haters always will be haters.. Don't care about that.. live this moment so happy, with ur baby :).. And just never forget,",notcyberbullying
@alex SO GROSS. feeling the urge to shower in boiling water.,notcyberbullying
@NikkiGobel hmm okay.,notcyberbullying
RT @benpobjie: Well that’s Lynn and Tony screwed #MKR,notcyberbullying
I hope I can finish it in time,notcyberbullying
@lukemoon1 Leading it 35 miles from the action.,notcyberbullying
"@JimmyMcCunty @Spacekatgal oh, darn, you can't? shoot.",notcyberbullying
So I don't get that puppy. But the director is apologetic and telling me I can have 50% off any other dog.,notcyberbullying
@IAmThe1Teacher @IronmanL1 @stevecorrales80 Try reality teacher. http://t.co/X8sqLd5jZU,notcyberbullying
@GBabeuf @MisGrace @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @NewsCoverUp @rougek68 I see your logic is as screwed as your morals.,notcyberbullying
One more time!! Good luck for ya @Louis_Tomlinson and hv fun!! Big love!! &lt;3 :) xx,notcyberbullying
@RoyLetsGo where have you bing????? At least post a survival report next time!,notcyberbullying
"I'm glad God doesn't see race, wealth, status, class etc...",notcyberbullying
Celtic can get a draw tomorrow ! #believe!,notcyberbullying
@LifeInKhilafah Wouldn't you rather be one of these? http://t.co/cm084oSkv7,notcyberbullying
Just gave a shit about bullying. Give a Shit at http://t.co/ftilJcW #giveashit,notcyberbullying
Yay Instant Restaurants are over!!! #mkr,notcyberbullying
"@MikePrysner @McDonalds I see that you are a big user of photoshopped images to sell your propaganda, Putin troll.",notcyberbullying
@CourtneyMooK @aluce32 I am...... I just wanted to make you feel like a bully :),notcyberbullying
@WilliamShatner @steve_markham watching someone with 1k followers explain Twitter to you has been the highlight of my past 15 minutes.,notcyberbullying
#confieso que le hago bullying en secreto con mis amigas a una compañera que es weona XD,notcyberbullying
@Forking_Awesome 😂 I was laughing at the #MKR Kat &amp; Andre hate tweets and    recognized you. We share the same hate.,notcyberbullying
@channelbianca Hope you feel better soon!,notcyberbullying
Is it a pony?! Oh fuck off.,notcyberbullying
Bully - missed this game.,notcyberbullying
@wilw magnificent.,notcyberbullying
@JihadiA8 There was no former glory.  Just a backward state powered by war and slaves.,notcyberbullying
"It's super common to run into an unintentional DoS, especially in dev. Ever make a stupid mistake that caused a critical lack of resources?",notcyberbullying
RT @sl473: Mmm maple bacon is the bomb #mkr,notcyberbullying
"@Noodle_Nobody Actually, no.",notcyberbullying
Nah nah nah-nah...hey heeeeeyyyyy..... Katie &amp; Nikki #MKR,notcyberbullying
"@Matty_Hammons Men, meanwhile, complain about things of substance, like women's legitimate criticisms of media",notcyberbullying
YES. I LOVE @lenadunham. http://t.co/ycgTBmmdxb,notcyberbullying
"She seems to be getting the most tweets, but @femfreq and @TheQuinnspiracy have seen much more ht engagement as well.",notcyberbullying
So gunna miss my home church when I get back to school.,notcyberbullying
Tem uma festa de criança bombando aqui no condomínio. Pessoas sem filhos como eu sofrem bullying em momentos como esse: não são convidadas.,notcyberbullying
@DonaldJTrumpJr @mrsvanessatrump congratulations!! The Trump dynasty continues. Best regards to the whole family.,notcyberbullying
I hate configuring retention policies and flush intervals in statsd/graphite. Ughhhh.,notcyberbullying
Are you serious a score of 1???? Uh I hate Kat and Andre #MKR,notcyberbullying
Can't wait to see the winners #mkr,notcyberbullying
How are You? @edcrossfineart We are well...,notcyberbullying
Entree worth a 3 max. My kids cook better than this and they know how to open cans! #MKR,notcyberbullying
"o @victtorgomess tá praticando bullying comigo, é! u_u",notcyberbullying
@PhilipMills8 @PsychBarakat @jncatron Palestinians must go back to Egypt and Saudi where they came from. There will be no withdrawal.,notcyberbullying
"That's about 4"", i think.",notcyberbullying
Not chefs shut up #MKR,notcyberbullying
@emily_esque I would love that. would you mind DMing me your email address? can shoot you an email later today.,notcyberbullying
@trishesdishes @GamerBobobobob Yep.,notcyberbullying
@fariesjha haha ;pp,notcyberbullying
@Ricky_RoZaizeph no. If they were capable they would be doing it. Stopping the run doesn't take much. They are too small. Getting bullied,notcyberbullying
and note2 @TheNewSchool ... i'm coming for you again.  #Take2,notcyberbullying
Mmm the pancakes are mouth watering I wish I was there #Mkr,notcyberbullying
My phones at 8% I'm going to cry.,notcyberbullying
RT @Mwaqar09: #Turks Boycott Schools in Protest of Islamization of Education http://t.co/Gk1CHxm43t #Turkey #Erdogan #Secularism http://t.c…,notcyberbullying
@TheQuinnspiracy I am hyping the fuck out of this by just being honest and people are setting timers and stuff.,notcyberbullying
Seems the entire AFL season will be shorter than #MKR,notcyberbullying
I can already tell that there's only going to be one person who I'll stay in contact with once I leave school.,notcyberbullying
@kcgreenn You can ask @All_HailCaesar all about it!,notcyberbullying
#mkr kat and andre didn't vote fairly they don't deserve to win.,notcyberbullying
"Words are nothing without actions, If words ment something without actions. We would all be as best as our words make us.",notcyberbullying
@Vandaliser @sajid_fairooz @IsraeliRegime Go read the history of Algebra in wiki and stop lying and running your mouth.,notcyberbullying
Is #mkr turning into #masterchef,notcyberbullying
"Coffee just dinged, so I'm going to finish this story quickly.",notcyberbullying
This the first time I seen the bully win money,notcyberbullying
@bellathorne143 BULLYING WE'LL STOP IT!!! http://t.co/2bNDKrD,notcyberbullying
Round 2 of #MKR you guys did an amazing job zeebie05 !! Starting to get anxious about our turn #MKR… https://t.co/w2sCY5Whyr,notcyberbullying
@mattjbaldo that's never a problem.,notcyberbullying
"@RJennromao All your followers need to read Masha Gessen's book, ""The Man Without A Face"" to understand what a criminal and thug Putin is.",notcyberbullying
@theThuggie what the HELL were you thinking with your company's name?,notcyberbullying
"@Giia_marengo le hace bulling a @Karol__Dance por que se ""gana"" en todos lados jajajaj y dice que los washiturros NO son flaites jajaj WENA",notcyberbullying
Hoping Vicky and Celine to go sudden death 100% #MKR,notcyberbullying
iTunes is playing all my old shit I used to listen to in high school.,notcyberbullying
I'm here and I'm hiding because I am literally wearing spoilers for the announcement. :P,notcyberbullying
@Elliot_Anderdon oh well you should watch it :) ok see ya,notcyberbullying
Someday im gonna dump that thing into the rubbish bin 😡,notcyberbullying
Shoutout to back when GamerGate thought forking #ggautoblocker's repo  excessively would make me renounce open source.,notcyberbullying
How can you have never cooked on a BBQ before????!! #MKR,notcyberbullying
"@MaxBlumenthal What ""along side""?",notcyberbullying
@ktetz5395 i think i just saw you..,notcyberbullying
HOW MANY ANGLES DOES MY FIST NEED I DON'T UNDERSTAND @echofade @angryaussie,notcyberbullying
Dessert's looking delicious ladies! #mkr,notcyberbullying
@Sheikh_Times3 How would you kill the terrorists in Sinai?,notcyberbullying
"@GlennF @Spacekatgal he's regurgitating the same ideas that people have had before. they were bad then, shockingly, still bad now.",notcyberbullying
GET. FUCKING. FUCKED. #mkr,notcyberbullying
"The ""hot pot"" is just tinned shit poured into a pot. I can do that and if i can do it, its very easy #MKR",notcyberbullying
"I'm talking about people that take an active stand to say they want to create solutions for harassment, but do nothing beyond get RTed.",notcyberbullying
RT @RealtyGC: #MKR. Honestly. How can any of them attempt to cook well without at least half a bottle of shiraz in them.,notcyberbullying
im so blownnnnnnnnnn.......my sister came back from school &amp; all she is listening to is Jersey Club,notcyberbullying
nichegamer got blacklisted by a gaming company. they responded by posting an article friday night about being blacklisted. oh boy.,notcyberbullying
"@dj_zense te creo, esparate que estoy witriando! #bulling",notcyberbullying
"@discerningmumin We didn't overturn elections in either place, the people did, and the people have that right, as long as they elect new ppl",notcyberbullying
"oooo. Almost forgot, need to submit to CFP for #osbridge. :)",notcyberbullying
@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.,notcyberbullying
