tweets_text,type
"I just watched #kathyburke #allwomen and it was brilliant i feel like i can now declare myself a human being and say that im different and its ok! Throughout high school i was a tomboy and i got bullied cos i didnt look like a typical ""girl"".They made my life hell! @KathyBurke",age
How do school solve bully?,age
Mind blowing & disgusting that racism and anti-blackness is actually so normalised in our society to the point that an Italian court could decide that it is acceptable to refer to a black woman as a Å“niggerÂ. Yet there are still people that believe racism is an American problem.,ethnicityandrace
"Guys be all like: ""Bro I wish a female co-worker would call me a fucking bitch.""",gender
RT @joej2020usa: Netanyahu: Paris Massacre Shows Radical Islam “Knows No Border” - Israel News http://t.co/kGGkulkTtp via @binalerts,religion
a girl who bullied me and my friend in high school somehow found my friendâ€™s phone number and called her she wants to be friends with us because sheâ€™s â€œchangedâ€ but we donâ€™t want to. She treated us like shit :(,age
"You can try to coach the old school far left bullet head socialist bully out of a militant, far left NDP lifer but the mask slips occasionally or comes off entirely.",age
As for me I support her though I live in Fl.The judge who dictated her sentence is a true and true liberal democrat who should be ashamed of himself.He has no conscience as 90%of radical communist anti Semitic anti Christian communist anti American democrat are,religion
"Foto: simonwang: Jimmy you dumb fuck oh god jimmy, you 're a fucking asshole Â¦ and nigger http://tmblr.co/ZQZ-pvekPWVg",ethnicityandrace
Whatabouttery is a illogical tool developed by idiots who have agenda to not listen to complete story. I condemn killing of each on of the victims unlike you who would want them to be separately identify Muslim and non muslims victims.,religion
I just know that some of them would bully you in high school for liking one direction,age
"When illiterate idiots comment without reading anything, they want people to make fun of them.. You do know that pakistan population is growing at much larger rate?and in india ,muslim community has one of the highest growth rate?",religion
@SEXYLALA That's a dumb nigger never fuck LALA. he will make your pussy dumb,ethnicityandrace
"That ""dumb nigger"" was your president for the last 4 years, so get the fuck, @DylanKreiser.",ethnicityandrace
"Bro the word literally means “Adult female”. Bitch, hoe, even female dog is disrespectful to call a women, but calling her a female? It just shows how problematic &amp; petty certain people can be. He refrains from calling you a bitch &amp; used “Female”, and that’s still a problem? i...",gender
I hate this bc I genuinely want to help people and there are compassionate nurses out there.. and then we get bullied by the high school mean girls that become nurses too :(((((((( https://twitter.com/deletedrew/status/1192930444955639808,age
He's relatable to teens. He's a kid in High school trying to get by. Gets bullied. Has a crush on a girl. Yeah sure Tony may have felt like his father figure. He wasnt in his early life until he became Spider-Man. Peter was still a kid who lived in a small apartment with aunt May,age
"@obinoavey ""dens of apostates""? Murder for the sake of religion.  Could you get any more stupid and inhuman?",religion
I used to dress and have hair like you back in high school and then everyone bullied me so I became basic like these other bitch but deep down o wanna go back to being a scene girl and having this exact style,age
"Yeah, the country is so white that anybody with a slight tan is likely to, at best, get the ""affectionate"" nickname ""Negro"" (not a slur in Spanish unless said with malice) and at worst be called a ""negro de mierda"" especially if they're poor.",ethnicityandrace
I just calmed down on calling females bitches now I can’t call ya females? Bitch please,gender
"I want her to bully me, i want her to come to my school , shove my head into toilet and bully me, please",age
"imagine thinking 5H say rape, racist &amp; gay jokes when they've never said anything about rape, they're all woc, &amp; Lauren is bisexual https://twitter.com/condoradore/status/843410631466373120",gender
One wonders how many school security guards were once the school bully.,age
RT @rkp12588: @YesYoureSexist @DaveGreene11 Just wanted to point out overseas labour isn't solely women in sweatshops... http://t.co/8EvgBu…,gender
"Agreed. Also loooots of performative misogyny. I'll say it, we need more leftist girl podcasters who were bullied in high school.",age
"Just because we don't have to sit in the ""colored"" section and you won't call me a nigger to my face and the political correct way to refer to my race is ""African American"" and not ""negro"" doesn't mean that racism is in America's rear view mirror. It is very much alive and well",ethnicityandrace
"I swear to fuckin god kat and Andre are the worst ever contestants, kat is such a little bitch a 1 is so unfair #mkr",gender
@dillonmcbride well maybe you're a dumb fuck who does I wouldn't know. You're dumb enough to tweet nigger? Like wtf you knew we'd be pissed,ethnicityandrace
" Å“@tayyoung_: FUCK OBAMA, dumb ass nigger Â this bitch",ethnicityandrace
"AHHAAHAHHAHAHA Thank u smm hope I get to redraw the first one someday LMAO ALSO YESSS LMAO eagle eyes I see it's the next art, still based on the Moonchildren au He has nice glowing tattoos and I'm so excited to draw them THANK U SM FOR UR SUPPORT AND LOVE",ethnicityandrace
"@SethMacFarlane @thesulk As someone who has watched FG since the beginning (I’m talking middle school, pre-original cancellation days), I’m happy to see the articles about “phasing out” gay jokes. Would love to watch an ep w/o a rape joke, too.",gender
"But i know that Turkish president Erdogan likes all of these countries..Trump said to him ""You are idiot""...Putin ordered him to buy some russian weapons..Erdogan uses mercenaries to kill Muslim people in Syria Libya Iraq, not even against Israel.",religion
Why canâ€™t my parents understand that I donâ€™t wanna watch coronation street because the bratty little girls in it remind me of the girls who bullied me in high school x,age
High School me is Joe Kelly... holy shit lmfaoooo,age
"Å“@tayyoung_: FUCK OBAMA, dumb ass niggerÂ &lt;&lt; this shit.",ethnicityandrace
ThEsE aRe HiGh ScHoOl FuCkInG BuLlIeS?!?!?!,age
Some girl who bullied me in high school posted a quote about not calling people racist on her story. It was attributed to Ronald Reagan. Cool stuff.,age
"I 'm sick of y 'all saying: ÂShe was young Â the time she was going around mocking black people, I was being bullied and called a nigger via internet. I 'm a year older than her. Stop justifying her disgusting actions. You don 't know what 's it like to be called burnt and runaway slave",ethnicityandrace
"will yall dumb ass niggers shut the fuck up! nobody gives a shit what you have to say, now fuck off",ethnicityandrace
stop double standard Why u not condeming DALIT HINDUS in pak are denied for ration .... These saints were killed by muslims And THIS IS RADICAL ISLAMIC TERRORISM !!!.... Talk about it now,religion
Probably because a lot of them were the mean girls that bullied in high school.,age
You are what women have been fighting for decades. Body-shaming anyone is being a grade-school bully,age
Itâ€™s hard to see people who bullied you being seen by a different light by others. Itâ€™s triggering actually because what that girl tried to do to me in 2005 set in motion a whole lot of other shit I had to deal with for the rest of high school.,age
its a joke u dumb fucking little nigger get the fuck out of my mentions REMEMBER WHO U WERE IN THIS COMMUNITY U BEG,ethnicityandrace
Its story of unheard Palestinians & Kashmiris too for past 70 years & now Uyghurs @antonioguterres either declare yourself antiMuslim or u dont care about Muslims or pass the Charters you cant remain silent its that simple @UN_HRC @UN_PGA @unpublications Idiot @OIC_OCI Al-Othman,religion
"Argument---- *If Quran is perfect then how come there are many terrorists organization like ISIS, AL-QAEDA, Hezbollah, Boko haram Indian Mujahideen in different countries belonging to different ethnicities, interpreting Quran the wrong way...?? Coincidence...??? I don't think so",religion
"RT @TehMenz: #QuestionsForMen Did you know that scientists agree that women ""slut shame"" to make vaginas more valuable to you? http://t.co/…",gender
when it comes to girls; Iâ€™ve always been bullied. But I learned to walk with my head high. And remain unbothered.,age
Yâ€™all bullied big girls in high school just to turn around and start â€œweight gainâ€ journeys now. We didnâ€™t forget,age
"RT @avatarcmoney: Family Guy makes race jokes, gay jokes, rape jokes, etc and y'all still watch it. Save the fake mad @Dave Chappelle shit.",gender
"Very true. Christians esp. of TN &amp; Kerala must acknowledge this and support the BJP for their safety, security &amp; welfare. Their Congress is hand in glove with radical Muslims &amp; their Parties like IUML, AIUDF etc. Voting for the Congress is like making Muslims powerful.",religion
"@koujaku_west alternatively, when you think your family is cool with gay people and then they break out the slurs and rape jokes",gender
"@walkertxkristen But you're right, let's continue to joke about rape, equate being gay with being bad, make light of drug addiction...",gender
Allah doesn't say kill n harm humanity. Terrorist have no religion n they don't believe in Allah. U don't have any concept of 'jihad.,religion
"And additionally, plenty of Christians fought and died to end slavery. However do u see 1.6 Billion muslims fighting against the so-called radical minority? NO! Instead They fund and support them.",religion
"tw/// rape they made a rape joke with racist and lesbophobic undertones and while they apologized, after the situation the way they handled it was awful",gender
"@MTV &amp; @MTVBrasil promote a sexist, anti- #gay PRO RAPE blog? And we ""just don't get the joke""? Make them drop it NOW: http://www.allout.org/en/actions/mtv",gender
Radical Muslims exploit and abuse and mock Christian residents by using Christian traditions and holidays for Arab propaganda. No limit to #palestinian atrocities. Never support these scum.,religion
"If you're having problems with the school bully, try bribing someone.",age
"the gay jokes are all funny &amp; fine imo, including the Barry Zuckercorn's bow-tied secretary ones &amp; ""flamer"" &amp; even the prison rape stuff the ones about Lindsey passing are also funny but something leaves a bad taste in the mouth",gender
Guys u know when u debate with someone who is from islam on islamic terrorism means u r wasting your whole time. This is just like pakistan who always says we r most peaceful contry around the world.. Sala poora din barbaad ho gya,religion
@EuroSlavA @brenbarber Those two are the only self ID'ed feminist I can think of who are legit.,gender
"They trippin over Jaimee Foxx bein called a nigger on #Django its a movie takin place in slave times low key, fuck you expect smh dumb stuff",ethnicityandrace
"And he would pull her hair and bite her ear in the classroom!! (Yes, they are high school students!)More WTH!! But yet again, in the end, the girl fell for the moron! And get this the reason she transferred to the school is because she had been bullied in her previous school!",age
"Lmfao fucking Kentucky cracker RT @BADDtooTHEEbone FUCKING REDNECK RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicityandrace
I use to get bullied in junior high by girls whose boyfriend's liked me but I didn't like them back,age
oh my god watching inception live again and jongho's outfit... why they gotta do that. everyone looks like badass gangster school bullies and jongho looks like the lil nerd with perfect grades that gets bullied. WHY.,age
Good luck to all leads in silver. Except fuck you calski dumb nigger.,ethnicityandrace
Stfu about Ariel the decision has been made already lol calling black people niggers over a decision that we had no say on is disgusting stfu it honestly getting real annoying,ethnicityandrace
"I used to be so problematic when I was younger, making rape jokes, gay jokes..... someone needed to stop me seriously I hate it so much",gender
He will stop school funding. Sounds like a bully forcing to me.,age
"A Puerto Rican man being praised for playing Alexander Hamilton (who was a real person) on BROADWAY but a white girl being threatened and bullied for playing Esmeralda (who is utterly fictional) in a HIGH SCHOOL PLAY is SJW ""logic"" at its worst. #Hamilton",age
so apparently darkies are being failed... Me i been saying... Thise white niggers in my class getting A's are dumb as fuck...,ethnicityandrace
damn maybe none of this would've happened if I had bought essential oils from the girl that bullied me in high school,age
"Why is it the people you were NOT friends with in high school who were mean to you or even bullied you are the first ones running up like â€œOh hey, girl!â€ Tf? Last I saw you we were not friends and we remain not friends today.",age
I still hate rape jokes but I hate censorship more. I hate that I have to choose.~ @rgay http://www.salon.com/2013/07/05/what_men_want_america_delivers/ via @AlissaNutting,gender
You’re the idiot making generalizations about Muslims watching porn LOL I’m literally from a Muslim country there aren’t many free VPNS I’ve been to several Muslim countries too porn is not easy to access most consumers of it are in western countries the statistics prove it,religion
A COVID 19 patient spitting on other healthy people is a terrorist..particularly when he does it for Islam and Jihad. Now fuck off you Intellectual Jihadi before humanity spits on you.,religion
"-are tricking men into having sex with them, and thus are gay male psychopathic perverts that are pretending to be women so they can basically rape people. It's a pretty fucked term if you think about it. And jokes that spread this message can reinforce t",gender
Most bullies happens in grade school level. At that age we canâ€™t expect kids to learn and change gradually. Their best sources are parents and Teachers,age
"@CamilleHughes16 @_Watch_Observe_ I don't really care what some Muslims practice.  I care that Islam encourages murder, hatred, sexism.",religion
@no2_tweet Here are Churchill's views about the pedophile prophet. http://t.co/tX7LHgnwf7,religion
"George something or other, 10th grade history teacher at Thibodaux High school, he was ignorant, a bully, and mean!",age
"Bobby Knight, the same coach who literally had Larry Bird on his IU team but allowed Kent Benson to bully him which resulted in Bird leaving school. Knight's narcissism didn't recognize Bird's fucking greatness. Doubt IU wouldve lost a game if Bird stayed 4 yrs -IU Fan Since 1974",age
"Which rights? Muslims already have all the rights as much as everyone else. Wtf is wrong with you. And don't think every Muslim is an idiot like you. There are good Muslims as well, and they want peace.",religion
"RT @sports2inflatio: @radioclashed right!, listen to founding mother of #feminism #adviceforyoungfeminists 1/3 http://t.co/paLsiD5I9H",gender
"I mean, we could call the entitled bitches, but then we’d be hurting my female dogs feelings. She’s a good dog.",gender
"This mv surprisingly has a lot of source truth.... Main girl playing the video game recently came out as bullied by the girl who flies as an angel at 2:56. As you can see, the bullied girl rapidly gives her energy to the bully who flies high like entities.",age
I use the word bitches too lightly .. n it ain’t even on no disrespectful shit I’d never call one female a bitch but multiple a diff story,gender
RT @BarrettWatson27 I'm not sexist but I cannot stand when there's a woman commentator talking when I'm watching sports.,gender
"Nobody mentioned that being gay was a joke, you're reaching for reasons to argue and that's just sad , just let them make inoffensive memes (rape is not a joke, and they aren't making fun of it, they are joking about dolphins and what happens in the animal kingdom)",gender
"Thes days, I am sick and tired of Niggers after seeing the barbaric and terrible black riots, and I don't want to listen to black music. The melody from the mouth of the beasts is so disgusting. In fact, how many are there so many good white pop songs that purify your soul.",ethnicityandrace
 Å“@sandrabashore: Kim kardashian is so pretty why the fuck did she have a kid with Kane west. What a dumb ass. Â Kanye iz da shit u nigger,ethnicityandrace
"amazes me any1 wld vote 4 frankie who claims 2 b gay but says lesbian is choice, jokes abt rape of young girl, and is so selfcentered #BB16",gender
RT @JakeDandrea_: @YesYoureSexist @AnthonySammarco Stop being a feminazi because you struggle at attracting the other sex. Stop starting dr…,gender
girls who bullied me in high school are highs now and im gnome,age
"I got bullied for having a disabled sister and because I cut my hair (pointless reason) these girls I was good friends with through first and middle school then we go to high school and they all turned on me, I got threatened, beaten up, things thrown at me and called all sorts!",age
@KKKlan you're all a bunch of dumb motherfuckers. Put a nigger dick in your mouth and shut the fuck up.,ethnicityandrace
"Saying “Gay Jesus” on Netflix is okay is like saying rape jokes are not offensive. Where’s the respect and moral boundaries, people?",gender
Helping my mum track down the girls who bullied her in high school on Facebook to make sure theyâ€™re doing worse than her now,age
"i remember these RATS in my school doing a ""tbh challenge"" on insta and whoever liked it they'd bully them online and irl and that shit was so infuriating istg",age
"There's this kid who sits beside me in my digital art and animation class and all he does is make rape and ""you're gay"" jokes and is the pinnacle of unfunny. He rambles to me the entire time and tries to be funny by repeating the same rape centered joke over and over",gender
If I went to get breakfast and I was served by Kat I would walk away. #MKR,gender
"Lmfaoook this white ho mad -----> RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicityandrace
"@tayyoung_: FUCK OBAMA, dumb ass nigger you made bro",ethnicityandrace
I've spent a lot of my life afraid of befriending women because I was bullied a lot by them and made to think it was all one big practical joke and no one actually liked me because that's what most girls in middle and high school showed to me but I'm done with that shit now,age
omg omg omg omg omg SHUT THE FUCK UP YOU STUPID FUCKING UGLY DUMB NIGGER BARBIE DOLL!!!,ethnicityandrace
"We've proven we're not just dumb blondes and pretty faces. True, not ""just""... #MKR",gender
I gave this much examples for rss terrorism. Still u support them. That's the difference. Terrorists are there among muslims too. But they never supported them. Muslims hate islamic terrorism more than people like u can that destroys themselves. But u support your terrorists.,religion
"YOU ALL ACT LIKE DUMB NIGGERS,EVEN YOU WHITE FAGGOTS.PLEASE KEEP THE FUCK AWAY FROM ME AS BOILING POINT BEEN REACHED !",ethnicityandrace
Disagree. Richard Pryor told rape jokes about his own rape and he was neither Gay nor a woman. Are you going to tell a man he can't joke about his own rape just because of his gender and sexual orientation?,gender
If you want to do something for humanity then gather ur people and rewrite Quran.. Remove word kafir &amp; jihad.. Mention that all people are equal &amp; respect othr religions Stop converting people &amp; stop terrorist activities in the name of allah.. World will accept u guys happily,religion
"Many muslims in Gujarat vote for BJP too, that's no point. If it was a natural disaster after killing of one person, after the Godhra train burning the ""natural disaster"" should have been 60 times stronger I am not with RSS, but your single digit IQ says you are with idiot Pappu",religion
"it's a pretty fact dat evry1 has at least a lil bit of racism in em Take ur laundry 4 exmpl,I bet u all separate d colored 4rm d whites.:)",ethnicityandrace
Miley Cyrus makes date rape joke onstage at GAY http://dlvr.it/5f1Ggw,gender
"I made some CHOCOLATE PIE FOR YO ASS! TAKE A SLICE BITCH! ""@tayyoung_: FUCK OBAMA, dumb ass nigger""",ethnicityandrace
"Right? Like why just gay jokes? They've literally made fun of everything, even throwing in rape and pedophilia jokes? Why is only gay jokes suddenly off the table...?",gender
Ah yes liberals the people who let freedom of religion and have Muslim congresspeople are anti-religion. The ones who want a separation of church and state are anti-religious. And you call me a brainwashed idiot. Name one anti-religious thing they did. Should we all be Christian?,religion
"Kill yo self you dumb ass cracker redneck bitch!!!!!!! Å“@tayyoung_: FUCK OBAMA, dumb ass niggerÂ",ethnicityandrace
Found out the girl who bullied me throughout high school now has 3 kids and is married and still living in our home town. All before 25. Damn maâ€™am.,age
She’s such an evil bitch. Now who’s not smiling? Shove it. #Kat #MKR,gender
#bb19 #bbad #bblf @CBSBigBrother @WHISTLE-NUT.com aught to be ashamed of #bbJason remarks of RAPE and GAY jokes,gender
It isn't anti muslim you idiot. The same law which existed since 2000 is applicable to every citizen of india. https://www.livelaw.in/news-updates/allahabad-hc-allows-recital-of-azan-by-muezzin-from-minarets-of-mosques-amid-lockdown-use-of-microphones-prohibited-read-judgment-156798 Read it. Educate yourself,religion
So what how cares I don't give a fuck dumb nigger lmao,ethnicityandrace
"Nice to see the same people who outraged about #VAW now using the words ""gay"" and ""rape"" as a joke for the #IPL.",gender
"Except for past jokes about rape victims, derogatory comments about gays and racist jokes ... sure, he reads like a nice guy huh?",gender
RT @JoshuaCorley ATTENTION! Women should NOT be participating in No Shave November,gender
"Attacking people out on Social Media is pathetic, dudes acting tough for likes, one of them will bite back sooner or later. Beware the Wolf in Sheeps clothing. Reminds me of a school yard bully who got fucked up by the skinny kid he picked on.",age
"@McFly_42: @Jormarkovitch is dumb AS FUCK yea and im a senior, and im NOT a nigger!",ethnicityandrace
"@MeFixerr we know you are a patriotic Pakistan and always talk about unity of Muslims ,we love turkey but like any other country off course turkey has also idiots ,not all ,and this man @alikeskin_tr is one of them ,time to unfollow .",religion
"It is disgusting to read Democratic candidate @JoeBiden campaign's attack on India under the garb of ""Agenda for Muslim-American Communities."" The U.S. must stand with India in its fight against Islamic terrorism.",religion
"She real mad tho RT @DoItLikeKayla: ""@tayyoung_: FUCK OBAMA, dumb ass nigger"" are you mad ?",ethnicityandrace
RT @A24Brett I'm not sexist but diva matches annoy me. And tag team diva matches...,gender
"It's funny how most past bully niggas who thought they were better than me in high school still think they are, but 90 percent of em have nothing to show for it @Portland Oregon https://www.instagram.com/p/CDGiRgzj2z1/?igshid=g36r9qifi6bs",age
"@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about",religion
"@ALLCAPSMOVIE lots of pokes at gay characters and queer culture in general, and one supes nonchalant rape joke",gender
"Great news! Kristina Lyke is an honest, hard working, intelligent, Christian woman who believes ALL human life is precious and that our American Constitution and Bill of Rights is to be defended. She is ""For the People"" of MI-08. #MIlikeLyke",religion
a girl named mai bullied me in high school lmaooo,age
@98Halima @johnnygjokaj @cdnKhadija @rfrankh53 Proof Mohammed was a pedophile. http://t.co/BZCt7Z9adC,religion
Using your own experience to described the Swedish school system is remarkably ignorant. I suspect you either received spec ed or were a poor academically performing bully who grew up to earn a minimum wage job you hate.,age
ISIS terrorists attacked these infants today in Kabul under the name of Jihad! Is this Jihad? Is this humanity? Is this a war? I am speechless.,religion
@IAmRifat Gay doesn't mean sex-abuser. He's pedophile and a sexist. Rape and having sex in mutual love is TOTALLY different. #shhabag,gender
"Woke up to a text from my mom condemning me on my behavior for speaking out against Trump on insta... Must be doing something right if she's so heated about me saying fuck Trump. It's sad a Christian woman like her can't speak out for all the black lives being taken, though.",religion
"Cheong Ah: ""That high school girl got bullied for two years, her friend suddenly turned her back on her, she didn't know why and was too afraid to ask. Waking up every day was a torture, going to school was terrifying."" Me: #BeautifulLoveWonderfulLife.",age
"Society is getting more ""politically correct"" because less and less people are finding gay jokes and woman jokes and rape jokes funny",gender
@ILOVECARL13459 im not fanboying red you dumb fuck im using this account to troll niggers into thinking im real. Get a life look at your @,ethnicityandrace
She 's is called a coon cause she 's anti black She spoke crazy about George Floyd past etc because it appeased her white fan base Ok FAIR But she 's been silent on breonna Taylor and Elijah McClain you know why? Cause they don 't have anything she can exploit,ethnicityandrace
"Do u like islamist terrorism in world ? Do you support islamic terrorism ? Do you stand with innocent peoples whom killed by fundamentalists ? Do you see story of indian soldiers who lost life cause of islamist terrorism ? If u have guts, reply to yourself !",religion
As soon as I get on cod.. *fuckin nigger! What do you for a living poor boy? *i have a fiancÃƒÂ© not a gf dumb fuck!,ethnicityandrace
"bullies didnt go hard enough when bezos, zuckerberg, cook and musk were in school",age
remember FRESHMAN year of high school this girl got bullied on ask fm because she wore push ups bras LMFOAKJJAAAOOKD,age
We didn't want all those muslims aka anti Nationals further in our country. That's why we chose not to make it a state. Idiot. Do you think we didn't have the option to after winning the war stupid,religion
Fuck these dumb fucking rockstar and psn niggers,ethnicityandrace
@IlhanMN your political group are the founders of the KKK the Jim Crow law Slavery in America and those statues that your love tearing down what idiots ilhan you should be ashamed of yourself but I guess that is part of Muslim culture,religion
The american msm called Elvis Aaron Presley the White Negro because he sang black music. Dude was a quasi Southern Baptist. His church had mostly black folks ffs. His parents were marginalized White ppl.,ethnicityandrace
We are also sorry for islamic terrorism in Kashmir which kills almost on daily basis. But u never tweet,religion
"@DailyMirror Peaceful BLM ""Radical"" Marxists, who broke thru a locked gate and theatened to kill them and destroy their property? That's why the American Revolution happened against you British class ass idiots! Now go deal with your Muslim invasion you a",religion
Pearls of wisdom via Miley *headhitsdesk* *sigh* RT @guardianmusic Miley Cyrus makes date rape joke onstage at GAY http://gu.com/p/3p62t,gender
"You fat face cracker bitch, I'll let the choppa sing in yo trailer park RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicityandrace
Justly another snarky failed Liberal ... srly do you people ever grow up; or do you just send your whole life sounding like 16 year old school yard bullies,age
"I hope you are sincere in this post. We really need you to stand up to the bullies. Don't budge 1 centimeter, especially with returning to school this fall. Walz is going nuts with his dictatorship, it's literally killing our state.",age
nicki did not revive a genre and carry it for a 10+ years becoming the most successful female rapper off all time for a broke bum bitch to call her pressed. now move,gender
you bitches will really call a female ugly just cause y’all don’t like her ...hater shit,gender
"i hate white people who say nigger so nonchalant then say ""oh I was kidding"" I'll slap the fuck outta you don't be dumb",ethnicityandrace
"UHHH SAIL AWAY SWALWELL OKAY WITH OBAMA'S HATRED FOR JERUSALEM & PRAISE/CRATES OF $$'S TO IRAN & SOMEHOW SAIL AWAY SWALWELL HAS DRAWN A BLANK TO THE MASSIVE SUPPORT BY TRUMP FOR ISRAEL! US EMBASSY IN ISRAEL! SEE YOU RADICAL FLLFSC-BB-A-DEMOCRATS HATE CHRISTIANS &amp; JEWS, BUT",religion
He knocked that nigger out before he hit the ground. Words from my dumb fuck boss for today. #AndersonSilva,ethnicityandrace
Your Muslim brothers the people you support and love would kill us in an instant you idiot,religion
U dumb nigger and lil shithead so fuck urself and lick ur moms vagina (@YouTube http://youtu.be/p1S03fB4-iQ?a),ethnicityandrace
FACTS! Black trans girls more than deserve that high fashion runway too. ALL the fashion weeks! And not just cause designers or companies like @VictoriasSecret had to be bullied into hiring trans women after theyâ€™ve made such transphobic remarks. MAKE IT THE NORM! Representation!,age
"last year/2017 he made these jokes about rape in a live-stream, he also mentally abused his ex who exposed him with proof , then he had this racist ass girlfriend that he just excused and never cared about anything she said. he also thinks it’s okay to us “gay” as an insult",gender
"Im a Chinese muslim you idiot! Do I need you to teach me what is Chinese ethnicity policy. The westerner said 1 million Uyghurs were captured, that is half of the whole Uyghur labor force. Decent scholars have repeatedly said this was definitely impossible.",religion
lol fucking nigger. dumb freshmen needs to understand that shes fake as fuck~,ethnicityandrace
"@maaac_daddy @N0_Pomo_ @LukeDuffy4 @Purr_Gande Oh gosh, its banter, dude. And I'm a girl bruh but sure kick  #feminazi",gender
Haven't you got anything else better to do then toll through past archives trying to make a name for yourself in the black lives matter movement it's so sad surely you can put your talents to some better use and stop trying to divide the country,ethnicityandrace
"Disgusting ignorance RT @tayyoung_ FUCK OBAMA, dumb ass nigger",ethnicityandrace
"So funny cause Iâ€™ve always ended up being good friends with the school bullies lol and Iâ€™m not sure why or how cause Iâ€™m so friendly! ... (I donâ€™t need Mhleli replying to this tweet, thanks).",age
"face palm Jesus to the ""radical right wing"" #MAGA Cult fake Christians support Trump",religion
Fuck you nigger RT @SheBaddAf_: @pjae813 -.- your fuckin DUMB . Goodbye What I'm sayin is they the lazy ones and we need all Votes,ethnicityandrace
There is no difference between the Nigerian government & those bullies in public secondary schools that give you 100 naira to buy them 1000 Naira worth of snacks and bring them 500 Naira change. Know this and know peace,age
"You can shut the hell up about it, though. @SicknessTheDick I'm not sexist, I just can't control how much I love big butts.",gender
RT @Rhys_Dempsey29 Where the women should be #notsexist #justfunny http://t.co/PdfuIvUyG8,gender
We call it right wing christian extremist. So that we separate it from normal christians? Do you want people thinking muslims are radical? She even names it to be wahhabism do you support the sauds religion? Do you want it to not be named? They just killed 2 soldiers on our soil,religion
Modi is feku who is fooling hindus by giving them false hope of saving from Islamic terrorism. U did not answer my question.,religion
"the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" 💋 #MKR",gender
